Question,Answer
What is the observer pattern in software design?,"Observer pattern defines one-to-many dependency where subject notifies all observers automatically when state changes, enabling loose coupling."
Describe the purpose of GraphQL subscriptions.,"GraphQL subscriptions enable real-time data updates from server to client over WebSocket connection, ideal for live feeds and notifications."
What is the difference between integration testing and end-to-end testing?,Integration testing verifies interaction between components/modules. End-to-end testing validates entire application flow from user perspective.
Explain the concept of data denormalization and its use cases.,"Denormalization adds redundant data to reduce joins and improve read performance, used in read-heavy systems where performance outweighs storage cost."
What is the purpose of a message queue in distributed systems?,"Message queue enables asynchronous communication between services, decoupling producers and consumers, ensuring reliable delivery and load leveling."
Describe the difference between symmetric and asymmetric encryption.,"Symmetric uses same key for encryption/decryption, faster but requires secure key exchange. Asymmetric uses public/private key pairs, slower but more secure."
What is the strategy pattern in object-oriented design?,"Strategy pattern defines family of interchangeable algorithms, encapsulating each and making them interchangeable at runtime based on context."
Explain the concept of database indexing strategies.,"Indexing creates data structures for fast lookups. Strategies: B-tree (range queries), hash (equality), bitmap (low cardinality), composite (multiple columns)."
What is the purpose of API versioning and common approaches?,"API versioning manages breaking changes while supporting existing clients. Approaches: URL path, query parameter, header, content negotiation."
Describe the decorator pattern with a practical example.,"Decorator pattern adds behavior to objects dynamically without modifying their structure. Example: adding logging, caching, or authentication to existing methods."
What is the difference between debouncing and throttling?,Debouncing delays execution until after inactivity period. Throttling limits execution to once per time interval. Both control function execution frequency.
Explain the concept of database transactions and ACID properties.,"Transactions are atomic units of work. ACID: Atomicity (all or nothing), Consistency (valid state), Isolation (concurrent execution), Durability (persists after commit)."
What is the purpose of webpack in modern web development?,"Webpack bundles JavaScript modules and assets, handling dependencies, code splitting, tree shaking, and optimization for production deployment."
Describe the CQRS pattern and its benefits.,"CQRS (Command Query Responsibility Segregation) separates read and write models, optimizing each independently for better scalability and performance."
What is the difference between unit of work and repository patterns?,"Repository abstracts data access. Unit of Work tracks changes across repositories and commits them together as single transaction, maintaining consistency."
Explain the concept of backpressure in stream processing.,"Backpressure handles situations where producer generates data faster than consumer processes it, implementing flow control to prevent overwhelming downstream systems."
What is the purpose of CORS preflight requests?,"Preflight requests use OPTIONS method to check if actual request is safe to send, verifying server allows the origin, method, and headers."
Describe the factory method design pattern.,"Factory method defines interface for creating objects but lets subclasses decide which class to instantiate, promoting loose coupling."
What is the difference between synchronous and asynchronous replication?,"Synchronous replication waits for all replicas to acknowledge before completing, ensuring consistency. Asynchronous replication completes immediately, prioritizing performance."
Explain the concept of progressive web apps (PWA).,"PWAs use modern web technologies to provide app-like experience, offering offline functionality, push notifications, and home screen installation."
What is the purpose of a distributed tracing system?,"Distributed tracing tracks requests across microservices, capturing timing and metadata to diagnose performance issues and understand system behavior."
Describe the template method design pattern.,"Template method defines algorithm skeleton in base class, letting subclasses override specific steps without changing structure."
What is the difference between REST and GraphQL APIs?,"REST uses multiple endpoints for resources. GraphQL uses single endpoint, allowing clients to request exactly what they need, reducing over/under-fetching."
Explain the concept of database triggers and their use cases.,"Triggers are stored procedures executing automatically on database events (INSERT, UPDATE, DELETE), used for auditing, validation, or cascading updates."
What is the purpose of Kubernetes Ingress?,"Ingress manages external access to services in cluster, providing HTTP/HTTPS routing, SSL termination, and load balancing based on rules."
Describe the proxy design pattern.,"Proxy pattern provides surrogate controlling access to another object, used for lazy loading, access control, logging, or remote object access."
What is the difference between fail-fast and fail-safe iterators?,"Fail-fast iterators throw exception if collection modified during iteration. Fail-safe iterators work on copy, allowing modification without exceptions."
Explain the concept of database partitioning strategies.,"Partitioning divides large tables: horizontal (rows), vertical (columns), functional (by feature), or hash-based. Improves query performance and manageability."
What is the purpose of service discovery in microservices?,"Service discovery automatically detects network locations of service instances, enabling dynamic routing and load balancing in distributed systems."
Describe the command pattern in software design.,"Command pattern encapsulates requests as objects, allowing parameterization, queuing, logging, and undo/redo operations."
What is the difference between polling and webhooks?,"Polling repeatedly checks for updates at intervals, consuming resources. Webhooks push notifications when events occur, more efficient for real-time updates."
Explain the concept of content negotiation in HTTP.,"Content negotiation selects best representation based on client preferences (Accept headers), allowing server to return different formats (JSON, XML, HTML)."
What is the purpose of Docker Compose?,"Docker Compose defines and runs multi-container applications using YAML configuration, managing container orchestration, networking, and volumes for development."
Describe the state pattern in object-oriented design.,"State pattern allows object to alter behavior when internal state changes, encapsulating state-specific behavior in separate classes."
What is the difference between clustered and non-clustered indexes?,"Clustered index determines physical data order, one per table. Non-clustered index creates separate structure with pointers, multiple allowed per table."
Explain the concept of API rate limiting strategies.,"Rate limiting controls request frequency: fixed window, sliding window, token bucket, or leaky bucket algorithms, preventing abuse and ensuring fair usage."
What is the purpose of Elasticsearch in modern applications?,"Elasticsearch is distributed search and analytics engine for full-text search, log analysis, metrics, and real-time data exploration at scale."
Describe the bridge design pattern.,"Bridge pattern decouples abstraction from implementation, allowing independent variation. Separates interface hierarchy from implementation hierarchy."
What is the difference between horizontal and vertical scaling?,"Horizontal scaling adds more machines to distribute load. Vertical scaling increases resources (CPU, RAM) of existing machines. Horizontal offers better fault tolerance."
Explain the concept of database materialized views.,"Materialized views store query results physically, refreshed periodically or on-demand. Improve read performance for complex queries at cost of staleness and storage."
What is the purpose of WebSockets over HTTP?,"WebSockets provide bidirectional, full-duplex communication channel over single TCP connection, ideal for real-time applications requiring low latency."
Describe the composite design pattern.,"Composite pattern composes objects into tree structures representing part-whole hierarchies, treating individual objects and compositions uniformly."
What is the difference between client-side and server-side session management?,"Client-side stores session data in cookies/tokens (JWT), stateless and scalable. Server-side stores on server, more secure but requires state management."
Explain the concept of eventual consistency models.,"Eventual consistency models define how and when replicas converge: causal consistency, read-your-writes, monotonic reads, balancing consistency with availability."
What is the purpose of Apache Kafka in data pipelines?,"Kafka is distributed streaming platform for building real-time data pipelines, providing high-throughput publish-subscribe messaging with durability and fault tolerance."
Describe the flyweight design pattern.,"Flyweight pattern minimizes memory usage by sharing common state among multiple objects, separating intrinsic (shared) from extrinsic (unique) state."
What is the difference between statement and prepared statement in SQL?,"Statements are compiled each execution, vulnerable to SQL injection. Prepared statements are pre-compiled with parameterized queries, more secure and efficient."
Explain the concept of chaos engineering.,"Chaos engineering deliberately introduces failures in production-like environments to test system resilience, identify weaknesses, and improve reliability."
What is the purpose of Redis Sentinel?,"Redis Sentinel provides high availability for Redis through monitoring, automatic failover, and configuration management of master-slave replication."
Describe the chain of responsibility pattern.,"Chain of responsibility passes request along chain of handlers, each deciding to process request or pass to next handler, decoupling sender from receivers."
What is the difference between shallow copy and deep copy in data structures?,"Shallow copy copies references to nested objects. Deep copy recursively copies all nested objects, creating completely independent copies."
Explain the concept of database connection timeout settings.,"Connection timeout defines maximum wait time for establishing database connection. Prevents hanging on unavailable databases, requiring proper tuning for reliability."
What is the purpose of gRPC in microservices communication?,"gRPC uses HTTP/2 and Protocol Buffers for efficient RPC calls, providing bidirectional streaming, strong typing, and better performance than REST."
Describe the interpreter design pattern.,"Interpreter pattern defines grammar representation and interpreter for language, evaluating sentences in the language, used for DSLs and expression evaluation."
What is the difference between optimistic and pessimistic UI updates?,"Optimistic UI updates interface immediately assuming success, reverting on failure. Pessimistic waits for server confirmation before updating, safer but slower."
Explain the concept of database query execution plans.,"Execution plans show how database executes queries, including operations, indexes used, and cost estimates. Essential for query optimization and performance tuning."
What is the purpose of Prometheus in monitoring?,"Prometheus is metrics-based monitoring system collecting time-series data through pull model, providing powerful query language and alerting capabilities."
Describe the visitor design pattern.,"Visitor pattern separates algorithms from object structure, allowing new operations without modifying classes by implementing visitor interface."
What is the difference between blue-green and canary deployment?,"Blue-green switches all traffic between two identical environments. Canary gradually routes small percentage of traffic to new version, monitoring before full rollout."
Explain the concept of database isolation levels.,"Isolation levels control concurrent transaction visibility: Read Uncommitted, Read Committed, Repeatable Read, Serializable, trading consistency for performance."
What is the purpose of service workers in web applications?,"Service workers are programmable network proxies running in background, enabling offline functionality, push notifications, and background sync for PWAs."
Describe the memento design pattern.,"Memento pattern captures and restores object's internal state without violating encapsulation, enabling undo/redo functionality and state snapshots."
What is the difference between useCallback and useMemo in React?,"useCallback memoizes function references to prevent recreation. useMemo memoizes computed values, both optimizing re-renders by avoiding unnecessary recalculations."
Explain the concept of database view and its advantages.,"Database view is a virtual table based on SQL query results. Advantages: simplifies complex queries, enhances security by restricting data access, provides data abstraction."
What is the purpose of TypeScript in modern web development?,"TypeScript adds static typing to JavaScript, catching errors at compile-time, improving code quality, enabling better IDE support, and enhancing maintainability in large projects."
Describe the producer-consumer pattern in concurrent programming.,"Producer-consumer pattern decouples production and consumption of data using queue. Producers add items, consumers process them, balancing workload and preventing resource contention."
What is the difference between authorization and authentication in web security?,Authentication verifies user identity (login credentials). Authorization determines what authenticated users can access (permissions and roles).
Explain the concept of graceful degradation in web development.,"Graceful degradation ensures applications remain functional when advanced features fail, providing basic functionality for older browsers or limited environments."
What is database connection pooling and why is it beneficial?,"Connection pooling maintains reusable database connections, reducing overhead of creating new connections, improving performance, and managing resources efficiently under high load."
Describe the purpose of linting tools in software development.,"Linting tools analyze code for errors, style violations, and potential bugs, enforcing coding standards, improving code quality, and catching issues before runtime."
What is the difference between npm and yarn package managers?,"Both manage JavaScript dependencies. Yarn offers faster installs through parallel downloads, deterministic dependency resolution, and offline caching. npm is default with Node.js."
Explain the concept of code smell in software engineering.,"Code smell indicates deeper problems in code structure without being bugs: long methods, duplicate code, large classes, suggesting need for refactoring."
What is the purpose of Redux middleware like Redux Thunk?,"Redux middleware extends store capabilities. Redux Thunk enables async actions by allowing action creators to return functions instead of objects, handling side effects."
Describe the difference between cookies and local storage.,"Cookies: sent with HTTP requests, 4KB limit, expiration dates. Local storage: client-side only, 5-10MB limit, persists until manually cleared, faster access."
What is the singleton design pattern and when to use it?,"Singleton ensures class has only one instance with global access point. Use for: logging, configuration management, database connections, or shared resource access."
Explain the concept of technical debt in software projects.,"Technical debt represents cost of choosing quick solutions over better approaches. Accumulates over time, requiring eventual refactoring, slowing development and increasing maintenance."
What is the purpose of Docker volumes?,"Docker volumes persist data outside containers, surviving container lifecycle. Enable data sharing between containers, backup, and separation of application from data."
Describe the difference between supervised and unsupervised learning.,"Supervised learning uses labeled training data to predict outcomes. Unsupervised learning finds patterns in unlabeled data through clustering, dimensionality reduction, or association."
What is the event loop in JavaScript and how does it work?,"Event loop manages asynchronous operations, continuously checking call stack and callback queue. Executes callbacks when stack is empty, enabling non-blocking I/O."
Explain the concept of database sharding strategies.,"Sharding horizontally partitions data across multiple databases. Strategies: range-based (age groups), hash-based (user IDs), geographic (regions), improving scalability and performance."
What is the difference between unit testing and integration testing?,"Unit testing tests individual components in isolation. Integration testing verifies interactions between multiple components, ensuring they work together correctly."
Describe the purpose of API gateway in microservices.,"API gateway acts as single entry point, routing requests to appropriate services. Handles authentication, rate limiting, load balancing, request transformation, and monitoring."
What is the difference between process and thread in operating systems?,"Process is independent program with own memory space. Thread is lightweight execution unit within process, sharing memory, enabling concurrent execution with lower overhead."
Explain the concept of eventual consistency in distributed databases.,"Eventual consistency allows temporary inconsistencies between replicas, guaranteeing all nodes will converge to same state eventually, prioritizing availability over immediate consistency."
What is the purpose of Babel in JavaScript development?,"Babel transpiles modern JavaScript to older versions for browser compatibility, enabling use of latest features while supporting older environments."
Describe the observer design pattern with practical example.,"Observer pattern defines one-to-many dependency where observers automatically receive notifications when subject changes. Example: event listeners, newsletter subscriptions, stock market updates."
What is the difference between REST and SOAP APIs?,"REST uses HTTP methods, lightweight JSON/XML, stateless, flexible. SOAP uses XML messages, strict standards, built-in security, supports transactions, more complex."
Explain the concept of database indexing types.,"Index types: B-tree (default, range queries), Hash (equality searches), Bitmap (low cardinality), Full-text (text search), Spatial (geographic data)."
What is the purpose of webpack loaders and plugins?,"Loaders transform files during bundling (CSS, images, TypeScript). Plugins extend webpack functionality (minification, optimization, environment variables)."
Describe the principle of separation of concerns in software architecture.,"Separation of concerns divides program into distinct sections, each handling specific functionality. Improves maintainability, reusability, and reduces coupling between components."
What is the difference between GraphQL and REST API?,"GraphQL: single endpoint, client specifies data needs, prevents over/under-fetching. REST: multiple endpoints, server defines response structure, simpler but less flexible."
Explain the concept of service-oriented architecture (SOA).,"SOA structures applications as collection of loosely coupled services communicating via protocols. Services are reusable, interoperable, promoting modularity and scalability."
What is the purpose of Redis in modern applications?,"Redis is in-memory data store for caching, session management, real-time analytics, pub/sub messaging, and queuing, providing ultra-fast data access."
Describe the factory design pattern and its benefits.,"Factory pattern creates objects without specifying exact class, encapsulating instantiation logic. Benefits: loose coupling, easier testing, centralized object creation."
What is the difference between monorepo and multirepo strategies?,"Monorepo: single repository for multiple projects, easier code sharing, atomic commits. Multirepo: separate repositories, independent versioning, clearer ownership."
Explain the concept of continuous deployment vs continuous delivery.,"Continuous delivery automates deployment readiness, requiring manual approval. Continuous deployment automatically deploys all changes passing tests to production without intervention."
What is the purpose of WebSockets in web applications?,"WebSockets enable bidirectional, real-time communication over single persistent connection, ideal for chat apps, live updates, gaming, reducing HTTP overhead."
Describe the adapter design pattern with example.,"Adapter pattern converts interface into another expected by client, enabling incompatible interfaces to work together. Example: power adapter, legacy system integration."
What is the difference between synchronous and asynchronous programming in Node.js?,"Synchronous blocks execution until operation completes. Asynchronous allows operations to run concurrently using callbacks, promises, or async/await, improving performance."
Explain the concept of database normalization benefits and drawbacks.,"Benefits: eliminates redundancy, improves data integrity, reduces storage. Drawbacks: complex queries requiring joins, potential performance impact on read-heavy systems."
What is the purpose of ESLint in JavaScript projects?,"ESLint statically analyzes code for errors and style issues, enforcing coding standards, catching bugs early, improving code quality and consistency across teams."
Describe the command design pattern and its use cases.,"Command pattern encapsulates requests as objects, enabling parameterization, queuing, logging, undo/redo operations. Use cases: GUI buttons, transaction systems, macro recording."
What is the difference between imperative and declarative programming paradigms?,"Imperative describes how to perform tasks step-by-step (for loops). Declarative describes what result is desired (SQL, functional programming)."
Explain the concept of database transaction isolation levels.,"Isolation levels: Read Uncommitted (dirty reads), Read Committed (prevents dirty reads), Repeatable Read (prevents non-repeatable reads), Serializable (full isolation)."
What is the purpose of service workers in Progressive Web Apps?,"Service workers are background scripts enabling offline functionality, push notifications, background sync, and caching strategies for PWAs."
Describe the strategy design pattern with practical scenario.,"Strategy pattern defines family of interchangeable algorithms, encapsulating each. Example: payment methods (credit card, PayPal, crypto), sorting algorithms selection."
What is the difference between encryption and hashing?,"Encryption is reversible transformation protecting data confidentiality using keys. Hashing is one-way function creating fixed-size digest, ensuring data integrity."
Explain the concept of dependency inversion principle in SOLID.,High-level modules shouldn't depend on low-level modules; both should depend on abstractions. Abstractions shouldn't depend on details; details depend on abstractions.
What is the purpose of Jenkins in CI/CD pipelines?,"Jenkins automates building, testing, and deploying applications. Provides plugins for version control, testing tools, deployment platforms, enabling continuous integration workflows."
Describe the decorator design pattern in object-oriented programming.,"Decorator dynamically adds behavior to objects without modifying structure. Wraps objects with additional functionality, enabling flexible feature composition at runtime."
What is the difference between shallow copy and deep copy in JavaScript?,"Shallow copy duplicates top-level properties; nested objects remain references. Deep copy recursively duplicates all nested structures, creating independent copies."
Explain the concept of API versioning strategies.,"Versioning strategies: URI path (/v1/users), query parameter (?version=1), header (Accept: application/vnd.api+json;version=1), media type versioning."
What is the purpose of Prometheus in monitoring systems?,"Prometheus is time-series database collecting metrics via pull model. Provides powerful query language (PromQL), alerting, visualization, ideal for microservices monitoring."
Describe the proxy design pattern and its applications.,"Proxy controls access to objects, acting as surrogate. Applications: lazy loading, access control, logging, remote proxy for distributed systems, caching."
What is the difference between stateful and stateless authentication?,"Stateful stores session data server-side (sessions). Stateless encodes data in token client-side (JWT), enabling horizontal scaling without shared state."
Explain the concept of test-driven development (TDD) cycle.,"TDD cycle: Write failing test (Red), Write minimal code to pass (Green), Refactor code (Refactor). Repeat for each feature, ensuring code meets requirements."
What is the purpose of Nginx as web server?,"Nginx handles HTTP requests, serves static content, acts as reverse proxy, load balancer. Known for high performance, low resource usage, handling concurrent connections."
Describe the composite design pattern with example.,"Composite treats individual objects and compositions uniformly in tree structures. Example: file system (files and folders), GUI components (containers and widgets)."
What is the difference between authentication tokens: JWT vs Session?,"JWT: stateless, self-contained, scalable. Session: stateful, server-stored, easier revocation. JWT better for microservices; sessions for traditional architectures."
Explain the concept of database replication strategies.,"Replication strategies: Master-slave (read scalability), Master-master (write scalability), Multi-master (high availability), Synchronous vs Asynchronous replication."
What is the purpose of Apache Kafka in data streaming?,"Kafka is distributed streaming platform for building real-time pipelines. Provides high-throughput publish-subscribe messaging, fault-tolerant storage, stream processing."
Describe the chain of responsibility design pattern.,"Chain of responsibility passes requests along handler chain. Each handler decides to process request or pass to next. Example: event handling, logging levels."
What is the difference between horizontal and vertical scaling strategies?,"Horizontal scaling adds more machines (scale out), better fault tolerance. Vertical scaling increases machine resources (scale up), simpler but limited by hardware."
Explain the concept of blue-green deployment strategy.,"Blue-green maintains two identical environments. Blue runs current version, green runs new version. Switch traffic to green after testing, enabling instant rollback."
What is the purpose of GraphQL resolvers?,"Resolvers are functions fetching data for GraphQL fields. Each field has resolver determining how to retrieve data from databases, APIs, or other sources."
Describe the template method design pattern.,"Template method defines algorithm skeleton in base class, letting subclasses override specific steps without changing structure. Example: data processing pipeline, game AI."
What is the difference between optimistic and pessimistic locking?,"Optimistic locking assumes conflicts are rare, checking before commit (version numbers). Pessimistic locking prevents conflicts by locking resources immediately."
Explain the concept of canary deployment in production.,"Canary deployment gradually routes small traffic percentage to new version, monitoring metrics. If successful, gradually increase; if issues, rollback quickly."
What is the purpose of MongoDB aggregation pipeline?,"Aggregation pipeline processes documents through stages: $match (filter), $group (aggregate), $sort (order), $project (reshape), enabling complex data transformations."
Describe the visitor design pattern and its use cases.,"Visitor separates algorithms from object structure. Adds new operations without modifying classes. Use cases: compilers (AST traversal), reporting, object serialization."
What is the difference between NoSQL database types?,Document (MongoDB): flexible schemas. Key-value (Redis): fast lookups. Column-family (Cassandra): time-series. Graph (Neo4j): relationships.
Explain the concept of infrastructure monitoring and logging.,"Monitoring tracks system health, performance metrics, resource usage. Logging records events, errors, transactions. Together enable troubleshooting, performance optimization, security auditing."
What is the purpose of React Context API?,"Context API shares data across component tree without prop drilling. Provides global state management for themes, authentication, localization in React applications."
Describe the state design pattern in software architecture.,"State pattern allows object to alter behavior when internal state changes. Encapsulates state-specific behavior in separate classes. Example: TCP connections, vending machines."
What is the difference between SQL JOIN types?,"INNER JOIN: matching rows. LEFT JOIN: all left, matching right. RIGHT JOIN: all right, matching left. FULL OUTER JOIN: all rows from both tables."
Explain the concept of containerization benefits in DevOps.,"Containerization provides: consistent environments, isolation, portability, efficient resource usage, fast deployment, microservices support, simplified scaling."
What is the purpose of OAuth 2.0 authorization framework?,"OAuth 2.0 enables third-party applications to access user resources without exposing credentials. Uses access tokens, refresh tokens, providing secure delegated access."
Describe the memento design pattern and its applications.,"Memento captures object's internal state for later restoration without violating encapsulation. Applications: undo/redo functionality, checkpoints, transaction rollbacks."
What is the difference between REST API HTTP status codes?,"2xx: success (200 OK, 201 Created). 3xx: redirection. 4xx: client errors (404 Not Found). 5xx: server errors (500 Internal Server Error)."
Explain the concept of feature toggles in software deployment.,"Feature toggles enable/disable features at runtime without code deployment. Support: A/B testing, gradual rollouts, emergency kill switches, per-user features."
What is the purpose of Elasticsearch in search applications?,"Elasticsearch is distributed search engine providing full-text search, analytics, scalability. Uses inverted indexes, supports complex queries, real-time indexing."
Describe the interpreter design pattern with example.,"Interpreter defines language grammar and interpreter for evaluating sentences. Example: regular expressions, mathematical expressions, SQL parsers, configuration languages."
What is the difference between cookies attributes: Secure and HttpOnly?,"Secure: transmits cookies only over HTTPS. HttpOnly: prevents JavaScript access, protecting against XSS attacks. Both enhance cookie security."
Explain the concept of database indexing trade-offs.,"Benefits: faster queries, improved performance. Trade-offs: slower writes, additional storage, maintenance overhead, careful selection needed for optimal performance."
What is the purpose of Terraform in infrastructure management?,"Terraform is Infrastructure as Code tool managing cloud resources through declarative configuration. Provides version control, automation, multi-cloud support, state management."
Describe the bridge design pattern and its purpose.,"Bridge decouples abstraction from implementation, allowing independent variation. Separates interface hierarchy from implementation hierarchy, avoiding cartesian product explosion."
What is the difference between mutation testing and code coverage?,"Code coverage measures executed lines. Mutation testing introduces bugs, checking if tests detect them, evaluating test quality beyond coverage metrics."
Explain the concept of distributed consensus algorithms.,"Consensus algorithms ensure distributed nodes agree on single value despite failures. Examples: Paxos (complex), Raft (understandable), ensuring consistency in distributed systems."
What is the purpose of RabbitMQ in message queuing?,"RabbitMQ is message broker implementing AMQP protocol. Enables asynchronous communication, decoupling services, load leveling, reliable message delivery with acknowledgments."
Describe the flyweight design pattern for memory optimization.,Flyweight minimizes memory by sharing common state among multiple objects. Separates intrinsic (shared) from extrinsic (unique) state. Example: text editors (character formatting).
What is the difference between synchronous and asynchronous replication?,"Synchronous: waits for replica acknowledgment, ensuring consistency but higher latency. Asynchronous: doesn't wait, better performance but potential data loss."
Explain the concept of chaos engineering in production systems.,"Chaos engineering deliberately introduces failures testing system resilience. Identifies weaknesses, validates failover mechanisms, improves reliability through controlled experiments."
What is the purpose of JWT token structure?,"JWT contains three parts: Header (algorithm), Payload (claims/data), Signature (verification). Base64 encoded, enabling stateless authentication, tamper-proof verification."
Describe the abstract factory design pattern.,"Abstract factory provides interface for creating families of related objects without specifying concrete classes. Example: UI themes (Windows, Mac) creating consistent components."
What is the difference between mocking and stubbing in testing?,"Mocking verifies behavior, recording interactions, asserting method calls. Stubbing provides predetermined responses for calls. Mocks test behavior; stubs isolate dependencies."
Explain the concept of database connection timeout configuration.,"Connection timeout limits wait time for establishing database connections. Prevents indefinite hanging, improves error handling, requires tuning based on network latency."
What is the purpose of Apache Spark in big data processing?,"Spark is distributed processing engine for large-scale data analytics. Provides in-memory computation, supports batch and streaming, offers SQL, ML, graph processing."
Describe the prototype design pattern and cloning.,"Prototype creates objects by cloning existing instances rather than instantiation. Uses shallow or deep copy, avoiding expensive initialization, supporting runtime composition."
What is the difference between authentication methods: Basic vs Bearer?,"Basic: encodes credentials in header, requires HTTPS. Bearer: uses tokens (JWT), stateless, more secure, supports expiration and refresh mechanisms."
Explain the concept of API idempotency and its importance.,"Idempotent operations produce same result when executed multiple times. Critical for reliability: prevents duplicate transactions, enables safe retries in distributed systems."
What is the purpose of Ansible in configuration management?,"Ansible automates infrastructure provisioning, configuration, deployment using agentless architecture. Uses YAML playbooks, SSH connection, enabling consistent environment management."
Describe the builder design pattern for object construction.,"Builder constructs complex objects step-by-step, separating construction from representation. Provides fluent interface, enabling optional parameters, improving readability for complex objects."
What is the difference between SQL aggregate functions?,COUNT: rows count. SUM: total. AVG: average. MAX/MIN: extremes. GROUP BY: aggregates by categories. HAVING: filters aggregated results.
Explain the concept of microservices communication patterns.,"Patterns: synchronous (REST, gRPC), asynchronous (message queues, pub-sub), event-driven, service mesh. Each balances latency, reliability, coupling."
What is the purpose of GitHub Actions in automation?,"GitHub Actions automates workflows: CI/CD pipelines, testing, deployment. Triggered by repository events, supports matrix builds, artifact sharing, third-party integrations."
Describe the mediator design pattern in software architecture.,"Mediator centralizes complex communications between objects, reducing dependencies. Objects communicate through mediator instead of directly. Example: chat rooms, air traffic control."
What is the difference between Array methods: map vs forEach?,"map: creates new array with transformed elements, returns array. forEach: executes function for each element, returns undefined. Map for transformations; forEach for side effects."
Explain the concept of database query optimization techniques.,"Techniques: proper indexing, query rewriting, avoiding SELECT *, limiting results, analyzing execution plans, denormalization, caching, connection pooling."
What is the purpose of Swagger/OpenAPI in API documentation?,"Swagger/OpenAPI provides standardized API specification format. Generates interactive documentation, client SDKs, server stubs, enabling API design-first approach."
Describe the null object design pattern and its benefits.,"Null object provides default behavior instead of null references. Eliminates null checks, prevents NullPointerException, simplifies code, provides sensible defaults."
What is the difference between CSS Grid and Flexbox?,"Grid: two-dimensional layout, rows and columns. Flexbox: one-dimensional layout, row or column. Grid for page layout; Flexbox for component alignment."
Explain the concept of A/B testing in software deployment.,"A/B testing compares two versions showing different user groups. Measures metrics (conversion, engagement), making data-driven decisions about features or designs."
What is the purpose of Redux Saga in state management?,"Redux Saga handles complex async operations and side effects using ES6 generators. Provides better control flow, testing, cancellation compared to thunks."
Describe the object pool design pattern for resource management.,"Object pool maintains reusable objects, improving performance by avoiding expensive creation/destruction. Example: database connections, thread pools, particle systems."
What is the difference between Git merge and rebase?,"Merge: preserves history, creates merge commit. Rebase: rewrites history, linear commits. Merge for shared branches; rebase for feature branches before merging."
Explain the concept of circuit breaker pattern in microservices.,"Circuit breaker prevents cascading failures by monitoring service calls. States: Closed (normal), Open (failing, blocking calls), Half-Open (testing recovery)."
What is the purpose of Postman in API development?,"Postman enables API testing, documentation, monitoring. Provides request builder, collections, environment variables, automated testing, collaboration features."
Describe the repository design pattern in data access.,"Repository abstracts data layer, providing collection-like interface for domain objects. Decouples business logic from data access, enabling easier testing and swapping."
What is the difference between HTTP methods: PUT vs PATCH?,"PUT: replaces entire resource, idempotent. PATCH: partial update, applies modifications. PUT for full updates; PATCH for specific field changes."
Explain the concept of database indexing data structures.,B-tree: balanced tree for range queries. Hash: fast equality lookups. Bitmap: low cardinality columns. GiST: complex data types. Each optimized for specific access patterns.
What is the purpose of Socket.io in real-time applications?,"Socket.io enables real-time bidirectional communication using WebSockets with fallback to polling. Provides rooms, namespaces, automatic reconnection for chat, notifications, gaming."
Describe the unit of work design pattern in transactions.,"Unit of Work tracks object changes during business transaction, committing all changes together or rolling back. Maintains consistency, coordinating multiple repository operations."
What is the difference between authentication flows: OAuth vs SAML?,"OAuth: delegated authorization, REST-based, mobile-friendly. SAML: enterprise SSO, XML-based, federation. OAuth for APIs; SAML for enterprise applications."
Explain the concept of eventual consistency window in distributed systems.,"Eventual consistency window is time period until all replicas converge. During window, reads may return stale data. Trade-off between availability and consistency."
What is the purpose of Grafana in monitoring visualization?,"Grafana creates dashboards visualizing metrics from multiple sources (Prometheus, Elasticsearch). Provides alerting, templating, query builders for observability."
Describe the specification design pattern for business rules.,"Specification encapsulates business rules as composable objects. Enables complex criteria combination using AND, OR, NOT operators. Example: filtering, validation."
What is the difference between class components and functional components in React?,"Class: extends React.Component, lifecycle methods, this binding. Functional: simpler syntax, hooks for state/effects. Functional preferred in modern React."
Explain the concept of database denormalization strategies.,"Denormalization adds redundancy for performance: duplicate data, computed columns, materialized views. Trade storage for query speed in read-heavy systems."
What is the purpose of Cypress in end-to-end testing?,"Cypress is JavaScript testing framework for web applications. Provides real browser testing, time-travel debugging, automatic waiting, screenshot/video recording."
Describe the facade design pattern for simplification.,"Facade provides simplified interface to complex subsystem. Hides complexity, reduces coupling, makes subsystem easier to use. Example: library APIs, legacy system wrappers."
What is the difference between SQL constraints: UNIQUE vs PRIMARY KEY?,"PRIMARY KEY: unique, not null, one per table, clustered index. UNIQUE: unique, allows nulls, multiple per table, non-clustered index."
Explain the concept of feature branching in Git workflow.,"Feature branching creates isolated branches for new features. Enables parallel development, code review via pull requests, clean main branch. Integrate when complete."
What is the purpose of Kubernetes pods and containers?,"Pod is smallest deployable unit containing one or more containers. Containers share pod resources, networking, storage. Pods enable microservices deployment patterns."
Describe the dependency injection pattern and its advantages.,"Dependency injection provides dependencies externally rather than creating internally. Advantages: loose coupling, easier testing, configuration flexibility, improved maintainability."
What is the difference between authentication token storage options?,"localStorage: persistent, vulnerable to XSS. sessionStorage: session-only. HttpOnly cookies: XSS-safe, CSRF vulnerable. Memory: most secure, lost on refresh."
Explain the concept of database read replicas for scaling.,"Read replicas are copies of primary database handling read operations. Improve read performance, distribute load, provide disaster recovery. Asynchronous replication from primary."
What is the purpose of Helm in Kubernetes deployments?,"Helm is Kubernetes package manager using charts (packages). Simplifies deployment, version management, rollbacks, configuration through templating and releases."
