Question Number,Question,Answer,Category,Difficulty
203,What is the difference between UTF-8 and UTF-16 encoding?,"UTF-8 uses 1-4 bytes per character, efficient for ASCII. UTF-16 uses 2-4 bytes, better for non-Latin scripts.",General Programming,Medium
204,Describe the purpose of a service mesh in microservices architecture.,"Service mesh manages service-to-service communication, providing observability, traffic management, security, and reliability features without changing application code.",System Design,Hard
205,What is the repository pattern in software architecture?,"Repository pattern abstracts data layer from business logic, providing a collection-like interface for accessing and manipulating domain objects.",Back-end,Medium
206,Explain the concept of eventual consistency in NoSQL databases.,"Eventual consistency allows temporary data inconsistencies across nodes, guaranteeing all replicas will converge to the same state over time, prioritizing availability.",Database Systems,Hard
207,What is the difference between imperative and declarative programming?,"Imperative describes how to accomplish a task step-by-step. Declarative describes what result is desired without specifying control flow.",General Programming,Medium
208,Describe WebAssembly and its use cases.,"WebAssembly is a low-level bytecode format enabling near-native performance in browsers, ideal for games, video editing, and compute-intensive applications.",Front-end,Hard
209,What is the strangler fig pattern in system migration?,"Strangler fig pattern gradually replaces legacy systems by incrementally building new functionality around the old system until it can be retired.",System Design,Medium
210,Explain the concept of database connection pooling and its benefits.,"Connection pooling maintains reusable database connections, reducing overhead of creating new connections, improving performance and resource utilization.",Back-end,Medium
211,What is the difference between optimistic and pessimistic locking in databases?,"Optimistic locking assumes conflicts are rare, checking before commit. Pessimistic locking prevents conflicts by locking resources immediately.",Database Systems,Hard
212,Describe the Model-View-ViewModel (MVVM) pattern.,"MVVM separates UI (View) from business logic (ViewModel) and data (Model), enabling data binding and testability, commonly used in front-end frameworks.",Front-end,Medium
213,What is idempotency in API design and why is it important?,"Idempotency ensures repeated identical requests produce the same result without additional side effects, crucial for reliability in distributed systems.",Back-end,Medium
214,Explain the concept of code splitting in modern web applications.,"Code splitting divides application code into smaller chunks loaded on demand, reducing initial bundle size and improving load time.",Front-end,Medium
215,What is the difference between horizontal pod autoscaling and vertical pod autoscaling in Kubernetes?,"Horizontal autoscaling adds/removes pod replicas based on metrics. Vertical autoscaling adjusts CPU/memory resources of existing pods.",DevOps,Hard
216,Describe the circuit breaker pattern and its implementation.,"Circuit breaker stops requests to failing services temporarily, preventing cascading failures. States: closed (normal), open (failing), half-open (testing recovery).",System Design,Hard
217,What is the purpose of a reverse proxy server?,"Reverse proxy sits between clients and servers, handling load balancing, SSL termination, caching, compression, and security.",Networking,Medium
218,Explain the concept of serverless computing and its trade-offs.,"Serverless executes code in response to events without managing servers, offering auto-scaling and pay-per-use. Trade-offs: cold starts, vendor lock-in, limited control.",DevOps,Medium
219,What is the difference between mocking and stubbing in unit tests?,"Stubs provide predetermined responses to calls. Mocks verify interactions and behavior, ensuring methods are called with expected parameters.",Software Testing,Medium
220,Describe the publish-subscribe messaging pattern.,"Pub-sub decouples message producers (publishers) from consumers (subscribers) through topics or channels, enabling scalable event-driven architectures.",System Design,Medium
221,What is the N+1 query problem and how do you solve it?,"N+1 problem occurs when fetching a list requires one query plus N queries for related data. Solve with eager loading or batch loading.",Database Systems,Medium
222,Explain the concept of shadowing in deployment strategies.,"Shadow deployment routes production traffic to new version alongside old version without affecting users, comparing behavior before full rollout.",DevOps,Hard
223,What is the difference between authentication and authorization?,"Authentication verifies user identity (who you are). Authorization determines what authenticated users can access (what you can do).",Security,Easy
224,Describe the saga pattern for distributed transactions.,"Saga pattern manages distributed transactions as sequence of local transactions, each with compensating transaction for rollback if needed.",Distributed Systems,Hard
225,What is the purpose of a content security policy (CSP)?,"CSP is a security header restricting sources from which content can be loaded, preventing XSS and data injection attacks.",Security,Medium
226,Explain the concept of tree shaking in JavaScript bundlers.,"Tree shaking eliminates unused code from final bundle by analyzing module imports/exports, reducing bundle size.",Front-end,Medium
227,What is the difference between stateful and stateless components in React?,"Stateful components manage internal state using hooks or class state. Stateless components are pure functions receiving props without managing state.",Front-end,Easy
228,Describe the bulkhead pattern in microservices.,"Bulkhead pattern isolates resources (threads, connections) for different services or operations, preventing failure in one area from affecting others.",System Design,Hard
229,What is the purpose of Redis in web applications?,"Redis is an in-memory data store used for caching, session management, real-time analytics, message queuing, and pub-sub messaging.",Back-end,Medium
230,Explain the concept of eventual consistency window.,"Eventual consistency window is the time period between write operation and when all replicas reflect the update, during which reads may return stale data.",Distributed Systems,Hard
231,What is the difference between forward proxy and reverse proxy?,"Forward proxy acts on behalf of clients accessing external servers. Reverse proxy acts on behalf of servers, receiving client requests.",Networking,Medium
232,Describe the use of Web Workers in browser environments.,"Web Workers run JavaScript in background threads, enabling concurrent processing without blocking UI thread, ideal for CPU-intensive tasks.",Front-end,Medium
233,What is database sharding and when should it be used?,"Sharding horizontally partitions data across multiple databases, distributing load. Use when single database can't handle traffic or data volume.",Database Systems,Hard
234,Explain the concept of feature flags and their benefits.,"Feature flags enable/disable features at runtime without deployment, supporting gradual rollouts, A/B testing, and quick rollbacks.",DevOps,Medium
235,What is the purpose of ETL vs ELT in data pipelines?,"ETL (Extract-Transform-Load) transforms data before loading. ELT (Extract-Load-Transform) loads raw data first, transforming in destination, leveraging modern compute power.",Data Engineering,Medium
236,Describe the adapter design pattern with an example.,"Adapter pattern converts one interface to another expected by client. Example: wrapping third-party library to match application's interface.",General Programming,Medium
237,What is the difference between cookies localStorage, and sessionStorage?"Cookies sent with every HTTP request have expiration. localStorage persists indefinitely. sessionStorage cleared when tab closes. localStorage/sessionStorage larger capacity.",Front-end,Medium
238,Explain the concept of database normalization forms (1NF to 3NF).,"1NF: atomic values, unique rows. 2NF: 1NF + no partial dependencies. 3NF: 2NF + no transitive dependencies. Each reduces redundancy.",Database Systems,Hard
239,What is the observer pattern in software design?,"Observer pattern defines one-to-many dependency where subject notifies all observers automatically when state changes, enabling loose coupling.",General Programming,Medium
240,Describe the purpose of GraphQL subscriptions.,"GraphQL subscriptions enable real-time data updates from server to client over WebSocket connection, ideal for live feeds and notifications.",Back-end,Medium
241,What is the difference between integration testing and end-to-end testing?,"Integration testing verifies interaction between components/modules. End-to-end testing validates entire application flow from user perspective.",Software Testing,Medium
242,Explain the concept of data denormalization and its use cases.,"Denormalization adds redundant data to reduce joins and improve read performance, used in read-heavy systems where performance outweighs storage cost.",Database Systems,Medium
243,What is the purpose of a message queue in distributed systems?,"Message queue enables asynchronous communication between services, decoupling producers and consumers, ensuring reliable delivery and load leveling.",System Design,Medium
244,Describe the difference between symmetric and asymmetric encryption.,"Symmetric uses same key for encryption/decryption, faster but requires secure key exchange. Asymmetric uses public/private key pairs, slower but more secure.",Security,Medium
245,What is the strategy pattern in object-oriented design?,"Strategy pattern defines family of interchangeable algorithms, encapsulating each and making them interchangeable at runtime based on context.",General Programming,Medium
246,Explain the concept of database indexing strategies.,"Indexing creates data structures for fast lookups. Strategies: B-tree (range queries), hash (equality), bitmap (low cardinality), composite (multiple columns).",Database Systems,Hard
247,What is the purpose of API versioning and common approaches?,"API versioning manages breaking changes while supporting existing clients. Approaches: URL path, query parameter, header, content negotiation.",Back-end,Medium
248,Describe the decorator pattern with a practical example.,"Decorator pattern adds behavior to objects dynamically without modifying their structure. Example: adding logging, caching, or authentication to existing methods.",General Programming,Medium
249,What is the difference between debouncing and throttling?,"Debouncing delays execution until after inactivity period. Throttling limits execution to once per time interval. Both control function execution frequency.",Front-end,Medium
250,Explain the concept of database transactions and ACID properties.,"Transactions are atomic units of work. ACID: Atomicity (all or nothing), Consistency (valid state), Isolation (concurrent execution), Durability (persists after commit).",Database Systems,Hard
251,What is the purpose of webpack in modern web development?,"Webpack bundles JavaScript modules and assets, handling dependencies, code splitting, tree shaking, and optimization for production deployment.",Front-end,Medium
252,Describe the CQRS pattern and its benefits.,"CQRS (Command Query Responsibility Segregation) separates read and write models, optimizing each independently for better scalability and performance.",System Design,Hard
253,What is the difference between unit of work and repository patterns?,"Repository abstracts data access. Unit of Work tracks changes across repositories and commits them together as single transaction, maintaining consistency.",Back-end,Hard
254,Explain the concept of backpressure in stream processing.,"Backpressure handles situations where producer generates data faster than consumer processes it, implementing flow control to prevent overwhelming downstream systems.",Data Engineering,Hard
255,What is the purpose of CORS preflight requests?,"Preflight requests use OPTIONS method to check if actual request is safe to send, verifying server allows the origin, method, and headers.",Front-end,Medium
256,Describe the factory method design pattern.,"Factory method defines interface for creating objects but lets subclasses decide which class to instantiate, promoting loose coupling.",General Programming,Medium
257,What is the difference between synchronous and asynchronous replication?,"Synchronous replication waits for all replicas to acknowledge before completing, ensuring consistency. Asynchronous replication completes immediately, prioritizing performance.",Database Systems,Hard
258,Explain the concept of progressive web apps (PWA).,"PWAs use modern web technologies to provide app-like experience, offering offline functionality, push notifications, and home screen installation.",Front-end,Medium
259,What is the purpose of a distributed tracing system?,"Distributed tracing tracks requests across microservices, capturing timing and metadata to diagnose performance issues and understand system behavior.",DevOps,Hard
260,Describe the template method design pattern.,"Template method defines algorithm skeleton in base class, letting subclasses override specific steps without changing structure.",General Programming,Medium
261,What is the difference between REST and GraphQL APIs?,"REST uses multiple endpoints for resources. GraphQL uses single endpoint, allowing clients to request exactly what they need, reducing over/under-fetching.",Back-end,Medium
262,Explain the concept of database triggers and their use cases.,"Triggers are stored procedures executing automatically on database events (INSERT, UPDATE, DELETE), used for auditing, validation, or cascading updates.",Database Systems,Medium
263,What is the purpose of Kubernetes Ingress?,"Ingress manages external access to services in cluster, providing HTTP/HTTPS routing, SSL termination, and load balancing based on rules.",DevOps,Medium
264,Describe the proxy design pattern.,"Proxy pattern provides surrogate controlling access to another object, used for lazy loading, access control, logging, or remote object access.",General Programming,Medium
265,What is the difference between fail-fast and fail-safe iterators?,"Fail-fast iterators throw exception if collection modified during iteration. Fail-safe iterators work on copy, allowing modification without exceptions.",General Programming,Medium
266,Explain the concept of database partitioning strategies.,"Partitioning divides large tables: horizontal (rows), vertical (columns), functional (by feature), or hash-based. Improves query performance and manageability.",Database Systems,Hard
267,What is the purpose of service discovery in microservices?,"Service discovery automatically detects network locations of service instances, enabling dynamic routing and load balancing in distributed systems.",System Design,Medium
268,Describe the command pattern in software design.,"Command pattern encapsulates requests as objects, allowing parameterization, queuing, logging, and undo/redo operations.",General Programming,Medium
269,What is the difference between polling and webhooks?,"Polling repeatedly checks for updates at intervals, consuming resources. Webhooks push notifications when events occur, more efficient for real-time updates.",Back-end,Medium
270,Explain the concept of content negotiation in HTTP.,"Content negotiation selects best representation based on client preferences (Accept headers), allowing server to return different formats (JSON, XML, HTML).",Back-end,Medium
271,What is the purpose of Docker Compose?,"Docker Compose defines and runs multi-container applications using YAML configuration, managing container orchestration, networking, and volumes for development.",DevOps,Easy
272,Describe the state pattern in object-oriented design.,"State pattern allows object to alter behavior when internal state changes, encapsulating state-specific behavior in separate classes.",General Programming,Medium
273,What is the difference between clustered and non-clustered indexes?,"Clustered index determines physical data order, one per table. Non-clustered index creates separate structure with pointers, multiple allowed per table.",Database Systems,Hard
274,Explain the concept of API rate limiting strategies.,"Rate limiting controls request frequency: fixed window, sliding window, token bucket, or leaky bucket algorithms, preventing abuse and ensuring fair usage.",Back-end,Medium
275,What is the purpose of Elasticsearch in modern applications?,"Elasticsearch is distributed search and analytics engine for full-text search, log analysis, metrics, and real-time data exploration at scale.",Back-end,Medium
276,Describe the bridge design pattern.,"Bridge pattern decouples abstraction from implementation, allowing independent variation. Separates interface hierarchy from implementation hierarchy.",General Programming,Hard
277,What is the difference between horizontal and vertical scaling?,"Horizontal scaling adds more machines to distribute load. Vertical scaling increases resources (CPU, RAM) of existing machines. Horizontal offers better fault tolerance.",System Design,Medium
278,Explain the concept of database materialized views.,"Materialized views store query results physically, refreshed periodically or on-demand. Improve read performance for complex queries at cost of staleness and storage.",Database Systems,Medium
279,What is the purpose of WebSockets over HTTP?,"WebSockets provide bidirectional, full-duplex communication channel over single TCP connection, ideal for real-time applications requiring low latency.",Front-end,Medium
280,Describe the composite design pattern.,"Composite pattern composes objects into tree structures representing part-whole hierarchies, treating individual objects and compositions uniformly.",General Programming,Medium
281,What is the difference between client-side and server-side session management?,"Client-side stores session data in cookies/tokens (JWT), stateless and scalable. Server-side stores on server, more secure but requires state management.",Back-end,Medium
282,Explain the concept of eventual consistency models.,"Eventual consistency models define how and when replicas converge: causal consistency, read-your-writes, monotonic reads, balancing consistency with availability.",Distributed Systems,Hard
283,What is the purpose of Apache Kafka in data pipelines?,"Kafka is distributed streaming platform for building real-time data pipelines, providing high-throughput publish-subscribe messaging with durability and fault tolerance.",Data Engineering,Medium
284,Describe the flyweight design pattern.,"Flyweight pattern minimizes memory usage by sharing common state among multiple objects, separating intrinsic (shared) from extrinsic (unique) state.",General Programming,Hard
285,What is the difference between statement and prepared statement in SQL?,"Statements are compiled each execution, vulnerable to SQL injection. Prepared statements are pre-compiled with parameterized queries, more secure and efficient.",Database Systems,Medium
286,Explain the concept of chaos engineering.,"Chaos engineering deliberately introduces failures in production-like environments to test system resilience, identify weaknesses, and improve reliability.",DevOps,Hard
287,What is the purpose of Redis Sentinel?,"Redis Sentinel provides high availability for Redis through monitoring, automatic failover, and configuration management of master-slave replication.",Back-end,Medium
288,Describe the chain of responsibility pattern.,"Chain of responsibility passes request along chain of handlers, each deciding to process request or pass to next handler, decoupling sender from receivers.",General Programming,Medium
289,What is the difference between shallow copy and deep copy in data structures?,"Shallow copy copies references to nested objects. Deep copy recursively copies all nested objects, creating completely independent copies.",General Programming,Medium
290,Explain the concept of database connection timeout settings.,"Connection timeout defines maximum wait time for establishing database connection. Prevents hanging on unavailable databases, requiring proper tuning for reliability.",Database Systems,Medium
291,What is the purpose of gRPC in microservices communication?,"gRPC uses HTTP/2 and Protocol Buffers for efficient RPC calls, providing bidirectional streaming, strong typing, and better performance than REST.",Back-end,Hard
292,Describe the interpreter design pattern.,"Interpreter pattern defines grammar representation and interpreter for language, evaluating sentences in the language, used for DSLs and expression evaluation.",General Programming,Hard
293,What is the difference between optimistic and pessimistic UI updates?,"Optimistic UI updates interface immediately assuming success, reverting on failure. Pessimistic waits for server confirmation before updating, safer but slower.",Front-end,Medium
294,Explain the concept of database query execution plans.,"Execution plans show how database executes queries, including operations, indexes used, and cost estimates. Essential for query optimization and performance tuning.",Database Systems,Hard
295,What is the purpose of Prometheus in monitoring?,"Prometheus is metrics-based monitoring system collecting time-series data through pull model, providing powerful query language and alerting capabilities.",DevOps,Medium
296,Describe the visitor design pattern.,"Visitor pattern separates algorithms from object structure, allowing new operations without modifying classes by implementing visitor interface.",General Programming,Hard
297,What is the difference between blue-green and canary deployment?,"Blue-green switches all traffic between two identical environments. Canary gradually routes small percentage of traffic to new version, monitoring before full rollout.",DevOps,Medium
298,Explain the concept of database isolation levels.,"Isolation levels control concurrent transaction visibility: Read Uncommitted, Read Committed, Repeatable Read, Serializable, trading consistency for performance.",Database Systems,Hard
299,What is the purpose of service workers in web applications?,"Service workers are programmable network proxies running in background, enabling offline functionality, push notifications, and background sync for PWAs.",Front-end,Hard
300,Describe the memento design pattern.,"Memento pattern captures and restores object's internal state without violating encapsulation, enabling undo/redo functionality and state snapshots.",General Programming,Hard
301,What is the difference between useCallback and useMemo in React?,"useCallback memoizes function references to prevent recreation. useMemo memoizes computed values, both optimizing re-renders by avoiding unnecessary recalculations.",Front-end,Medium
302,Explain the concept of database view and its advantages.,"Database view is a virtual table based on SQL query results. Advantages: simplifies complex queries, enhances security by restricting data access, provides data abstraction.",Database Systems,Medium
303,What is the purpose of TypeScript in modern web development?,"TypeScript adds static typing to JavaScript, catching errors at compile-time, improving code quality, enabling better IDE support, and enhancing maintainability in large projects.",Front-end,Medium
304,Describe the producer-consumer pattern in concurrent programming.,"Producer-consumer pattern decouples production and consumption of data using queue. Producers add items, consumers process them, balancing workload and preventing resource contention.",Back-end,Hard
305,What is the difference between authorization and authentication in web security?,"Authentication verifies user identity (login credentials). Authorization determines what authenticated users can access (permissions and roles).",Security,Easy
306,Explain the concept of graceful degradation in web development.,"Graceful degradation ensures applications remain functional when advanced features fail, providing basic functionality for older browsers or limited environments.",Front-end,Medium
307,What is database connection pooling and why is it beneficial?,"Connection pooling maintains reusable database connections, reducing overhead of creating new connections, improving performance, and managing resources efficiently under high load.",Back-end,Medium
308,Describe the purpose of linting tools in software development.,"Linting tools analyze code for errors, style violations, and potential bugs, enforcing coding standards, improving code quality, and catching issues before runtime.",Software Testing,Easy
309,What is the difference between npm and yarn package managers?,"Both manage JavaScript dependencies. Yarn offers faster installs through parallel downloads, deterministic dependency resolution, and offline caching. npm is default with Node.js.",DevOps,Medium
310,Explain the concept of code smell in software engineering.,"Code smell indicates deeper problems in code structure without being bugs: long methods, duplicate code, large classes, suggesting need for refactoring.",General Programming,Medium
311,What is the purpose of Redux middleware like Redux Thunk?,"Redux middleware extends store capabilities. Redux Thunk enables async actions by allowing action creators to return functions instead of objects, handling side effects.",Front-end,Hard
312,Describe the difference between cookies and local storage.,"Cookies: sent with HTTP requests, 4KB limit, expiration dates. Local storage: client-side only, 5-10MB limit, persists until manually cleared, faster access.",Front-end,Easy
313,What is the singleton design pattern and when to use it?,"Singleton ensures class has only one instance with global access point. Use for: logging, configuration management, database connections, or shared resource access.",General Programming,Medium
314,Explain the concept of technical debt in software projects.,"Technical debt represents cost of choosing quick solutions over better approaches. Accumulates over time, requiring eventual refactoring, slowing development and increasing maintenance.",General Programming,Medium
315,What is the purpose of Docker volumes?,"Docker volumes persist data outside containers, surviving container lifecycle. Enable data sharing between containers, backup, and separation of application from data.",DevOps,Medium
316,Describe the difference between supervised and unsupervised learning.,"Supervised learning uses labeled training data to predict outcomes. Unsupervised learning finds patterns in unlabeled data through clustering, dimensionality reduction, or association.",Machine Learning,Medium
317,What is the event loop in JavaScript and how does it work?,"Event loop manages asynchronous operations, continuously checking call stack and callback queue. Executes callbacks when stack is empty, enabling non-blocking I/O.",Front-end,Hard
318,Explain the concept of database sharding strategies.,"Sharding horizontally partitions data across multiple databases. Strategies: range-based (age groups), hash-based (user IDs), geographic (regions), improving scalability and performance.",Database Systems,Hard
319,What is the difference between unit testing and integration testing?,"Unit testing tests individual components in isolation. Integration testing verifies interactions between multiple components, ensuring they work together correctly.",Software Testing,Easy
320,Describe the purpose of API gateway in microservices.,"API gateway acts as single entry point, routing requests to appropriate services. Handles authentication, rate limiting, load balancing, request transformation, and monitoring.",System Design,Medium
321,What is the difference between process and thread in operating systems?,"Process is independent program with own memory space. Thread is lightweight execution unit within process, sharing memory, enabling concurrent execution with lower overhead.",General Programming,Medium
322,Explain the concept of eventual consistency in distributed databases.,"Eventual consistency allows temporary inconsistencies between replicas, guaranteeing all nodes will converge to same state eventually, prioritizing availability over immediate consistency.",Distributed Systems,Hard
323,What is the purpose of Babel in JavaScript development?,"Babel transpiles modern JavaScript to older versions for browser compatibility, enabling use of latest features while supporting older environments.",Front-end,Medium
324,Describe the observer design pattern with practical example.,"Observer pattern defines one-to-many dependency where observers automatically receive notifications when subject changes. Example: event listeners, newsletter subscriptions, stock market updates.",General Programming,Medium
325,What is the difference between REST and SOAP APIs?,"REST uses HTTP methods, lightweight JSON/XML, stateless, flexible. SOAP uses XML messages, strict standards, built-in security, supports transactions, more complex.",Back-end,Medium
326,Explain the concept of database indexing types.,"Index types: B-tree (default, range queries), Hash (equality searches), Bitmap (low cardinality), Full-text (text search), Spatial (geographic data).",Database Systems,Hard
327,What is the purpose of webpack loaders and plugins?,"Loaders transform files during bundling (CSS, images, TypeScript). Plugins extend webpack functionality (minification, optimization, environment variables).",Front-end,Medium
328,Describe the principle of separation of concerns in software architecture.,"Separation of concerns divides program into distinct sections, each handling specific functionality. Improves maintainability, reusability, and reduces coupling between components.",General Programming,Medium
329,What is the difference between GraphQL and REST API?,"GraphQL: single endpoint, client specifies data needs, prevents over/under-fetching. REST: multiple endpoints, server defines response structure, simpler but less flexible.",Back-end,Medium
330,Explain the concept of service-oriented architecture (SOA).,"SOA structures applications as collection of loosely coupled services communicating via protocols. Services are reusable, interoperable, promoting modularity and scalability.",System Design,Hard
331,What is the purpose of Redis in modern applications?,"Redis is in-memory data store for caching, session management, real-time analytics, pub/sub messaging, and queuing, providing ultra-fast data access.",Back-end,Medium
332,Describe the factory design pattern and its benefits.,"Factory pattern creates objects without specifying exact class, encapsulating instantiation logic. Benefits: loose coupling, easier testing, centralized object creation.",General Programming,Medium
333,What is the difference between monorepo and multirepo strategies?,"Monorepo: single repository for multiple projects, easier code sharing, atomic commits. Multirepo: separate repositories, independent versioning, clearer ownership.",Version Control,Medium
334,Explain the concept of continuous deployment vs continuous delivery.,"Continuous delivery automates deployment readiness, requiring manual approval. Continuous deployment automatically deploys all changes passing tests to production without intervention.",DevOps,Medium
335,What is the purpose of WebSockets in web applications?,"WebSockets enable bidirectional, real-time communication over single persistent connection, ideal for chat apps, live updates, gaming, reducing HTTP overhead.",Front-end,Medium
336,Describe the adapter design pattern with example.,"Adapter pattern converts interface into another expected by client, enabling incompatible interfaces to work together. Example: power adapter, legacy system integration.",General Programming,Medium
337,What is the difference between synchronous and asynchronous programming in Node.js?,"Synchronous blocks execution until operation completes. Asynchronous allows operations to run concurrently using callbacks, promises, or async/await, improving performance.",Back-end,Medium
338,Explain the concept of database normalization benefits and drawbacks.,"Benefits: eliminates redundancy, improves data integrity, reduces storage. Drawbacks: complex queries requiring joins, potential performance impact on read-heavy systems.",Database Systems,Medium
339,What is the purpose of ESLint in JavaScript projects?,"ESLint statically analyzes code for errors and style issues, enforcing coding standards, catching bugs early, improving code quality and consistency across teams.",Front-end,Easy
340,Describe the command design pattern and its use cases.,"Command pattern encapsulates requests as objects, enabling parameterization, queuing, logging, undo/redo operations. Use cases: GUI buttons, transaction systems, macro recording.",General Programming,Hard
341,What is the difference between imperative and declarative programming paradigms?,"Imperative describes how to perform tasks step-by-step (for loops). Declarative describes what result is desired (SQL, functional programming).",General Programming,Medium
342,Explain the concept of database transaction isolation levels.,"Isolation levels: Read Uncommitted (dirty reads), Read Committed (prevents dirty reads), Repeatable Read (prevents non-repeatable reads), Serializable (full isolation).",Database Systems,Hard
343,What is the purpose of service workers in Progressive Web Apps?,"Service workers are background scripts enabling offline functionality, push notifications, background sync, and caching strategies for PWAs.",Front-end,Hard
344,Describe the strategy design pattern with practical scenario.,"Strategy pattern defines family of interchangeable algorithms, encapsulating each. Example: payment methods (credit card, PayPal, crypto), sorting algorithms selection.",General Programming,Medium
345,What is the difference between encryption and hashing?,"Encryption is reversible transformation protecting data confidentiality using keys. Hashing is one-way function creating fixed-size digest, ensuring data integrity.",Security,Medium
346,Explain the concept of dependency inversion principle in SOLID.,"High-level modules shouldn't depend on low-level modules; both should depend on abstractions. Abstractions shouldn't depend on details; details depend on abstractions.",General Programming,Hard
347,What is the purpose of Jenkins in CI/CD pipelines?,"Jenkins automates building, testing, and deploying applications. Provides plugins for version control, testing tools, deployment platforms, enabling continuous integration workflows.",DevOps,Medium
348,Describe the decorator design pattern in object-oriented programming.,"Decorator dynamically adds behavior to objects without modifying structure. Wraps objects with additional functionality, enabling flexible feature composition at runtime.",General Programming,Medium
349,What is the difference between shallow copy and deep copy in JavaScript?,"Shallow copy duplicates top-level properties; nested objects remain references. Deep copy recursively duplicates all nested structures, creating independent copies.",Front-end,Medium
350,Explain the concept of API versioning strategies.,"Versioning strategies: URI path (/v1/users), query parameter (?version=1), header (Accept: application/vnd.api+json;version=1), media type versioning.",Back-end,Medium
351,What is the purpose of Prometheus in monitoring systems?,"Prometheus is time-series database collecting metrics via pull model. Provides powerful query language (PromQL), alerting, visualization, ideal for microservices monitoring.",DevOps,Medium
352,Describe the proxy design pattern and its applications.,"Proxy controls access to objects, acting as surrogate. Applications: lazy loading, access control, logging, remote proxy for distributed systems, caching.",General Programming,Medium
353,What is the difference between stateful and stateless authentication?,"Stateful stores session data server-side (sessions). Stateless encodes data in token client-side (JWT), enabling horizontal scaling without shared state.",Security,Medium
354,Explain the concept of test-driven development (TDD) cycle.,"TDD cycle: Write failing test (Red), Write minimal code to pass (Green), Refactor code (Refactor). Repeat for each feature, ensuring code meets requirements.",Software Testing,Medium
355,What is the purpose of Nginx as web server?,"Nginx handles HTTP requests, serves static content, acts as reverse proxy, load balancer. Known for high performance, low resource usage, handling concurrent connections.",DevOps,Medium
356,Describe the composite design pattern with example.,"Composite treats individual objects and compositions uniformly in tree structures. Example: file system (files and folders), GUI components (containers and widgets).",General Programming,Hard
357,What is the difference between authentication tokens: JWT vs Session?,"JWT: stateless, self-contained, scalable. Session: stateful, server-stored, easier revocation. JWT better for microservices; sessions for traditional architectures.",Security,Medium
358,Explain the concept of database replication strategies.,"Replication strategies: Master-slave (read scalability), Master-master (write scalability), Multi-master (high availability), Synchronous vs Asynchronous replication.",Database Systems,Hard
359,What is the purpose of Apache Kafka in data streaming?,"Kafka is distributed streaming platform for building real-time pipelines. Provides high-throughput publish-subscribe messaging, fault-tolerant storage, stream processing.",Data Engineering,Medium
360,Describe the chain of responsibility design pattern.,"Chain of responsibility passes requests along handler chain. Each handler decides to process request or pass to next. Example: event handling, logging levels.",General Programming,Hard
361,What is the difference between horizontal and vertical scaling strategies?,"Horizontal scaling adds more machines (scale out), better fault tolerance. Vertical scaling increases machine resources (scale up), simpler but limited by hardware.",System Design,Medium
362,Explain the concept of blue-green deployment strategy.,"Blue-green maintains two identical environments. Blue runs current version, green runs new version. Switch traffic to green after testing, enabling instant rollback.",DevOps,Medium
363,What is the purpose of GraphQL resolvers?,"Resolvers are functions fetching data for GraphQL fields. Each field has resolver determining how to retrieve data from databases, APIs, or other sources.",Back-end,Medium
364,Describe the template method design pattern.,"Template method defines algorithm skeleton in base class, letting subclasses override specific steps without changing structure. Example: data processing pipeline, game AI.",General Programming,Hard
365,What is the difference between optimistic and pessimistic locking?,"Optimistic locking assumes conflicts are rare, checking before commit (version numbers). Pessimistic locking prevents conflicts by locking resources immediately.",Database Systems,Hard
366,Explain the concept of canary deployment in production.,"Canary deployment gradually routes small traffic percentage to new version, monitoring metrics. If successful, gradually increase; if issues, rollback quickly.",DevOps,Medium
367,What is the purpose of MongoDB aggregation pipeline?,"Aggregation pipeline processes documents through stages: $match (filter), $group (aggregate), $sort (order), $project (reshape), enabling complex data transformations.",Database Systems,Medium
368,Describe the visitor design pattern and its use cases.,"Visitor separates algorithms from object structure. Adds new operations without modifying classes. Use cases: compilers (AST traversal), reporting, object serialization.",General Programming,Hard
369,What is the difference between NoSQL database types?,"Document (MongoDB): flexible schemas. Key-value (Redis): fast lookups. Column-family (Cassandra): time-series. Graph (Neo4j): relationships.",Database Systems,Medium
370,Explain the concept of infrastructure monitoring and logging.,"Monitoring tracks system health, performance metrics, resource usage. Logging records events, errors, transactions. Together enable troubleshooting, performance optimization, security auditing.",DevOps,Medium
371,What is the purpose of React Context API?,"Context API shares data across component tree without prop drilling. Provides global state management for themes, authentication, localization in React applications.",Front-end,Medium
372,Describe the state design pattern in software architecture.,"State pattern allows object to alter behavior when internal state changes. Encapsulates state-specific behavior in separate classes. Example: TCP connections, vending machines.",General Programming,Hard
373,What is the difference between SQL JOIN types?,"INNER JOIN: matching rows. LEFT JOIN: all left, matching right. RIGHT JOIN: all right, matching left. FULL OUTER JOIN: all rows from both tables.",Database Systems,Medium
374,Explain the concept of containerization benefits in DevOps.,"Containerization provides: consistent environments, isolation, portability, efficient resource usage, fast deployment, microservices support, simplified scaling.",DevOps,Medium
375,What is the purpose of OAuth 2.0 authorization framework?,"OAuth 2.0 enables third-party applications to access user resources without exposing credentials. Uses access tokens, refresh tokens, providing secure delegated access.",Security,Hard
376,Describe the memento design pattern and its applications.,"Memento captures object's internal state for later restoration without violating encapsulation. Applications: undo/redo functionality, checkpoints, transaction rollbacks.",General Programming,Hard
377,What is the difference between REST API HTTP status codes?,"2xx: success (200 OK, 201 Created). 3xx: redirection. 4xx: client errors (404 Not Found). 5xx: server errors (500 Internal Server Error).",Back-end,Easy
